,Beta,Alpha
IPAPPM.NS,1.32,0.0
IPCALAB.NS,3.3,-0.01
IRB.NS,0.38,0.0
ITC.NS,-0.8,0.01
ITDCEM.NS,-0.96,0.01
JAGRAN.NS,-0.93,0.01
JAICORPLTD.NS,0.1,-0.0
JBCHEPHARM.NS,0.94,-0.01
JBFIND.NS,2.09,0.0
JCHAC.NS,1.09,0.01
JETAIRWAYS.NS,0.65,0.01
JINDALPOLY.NS,1.58,-0.0
JINDALSTEL.NS,6.58,0.0
JISLJALEQS.NS,-0.56,0.01
JKCEMENT.NS,-0.87,-0.0
JKIL.NS,0.0,-0.0
JKLAKSHMI.NS,0.1,0.0
JKTYRE.NS,4.45,-0.0
JMFINANCIL.NS,1.87,-0.0
JMTAUTOLTD.NS,0.53,0.0
JPASSOCIAT.NS,-2.49,0.01
JPINFRATEC.NS,-0.93,0.01
JPPOWER.NS,1.51,-0.01
JSWENERGY.NS,0.96,-0.01
JSWHL.NS,1.66,0.0
JSWSTEEL.NS,0.0,0.0
JUBILANT.NS,1.14,-0.0
JUBLFOOD.NS,2.26,-0.01
JUSTDIAL.NS,-1.51,0.01
JYOTHYLAB.NS,0.94,-0.0
KAJARIACER.NS,-0.12,0.01
KALPATPOWR.NS,0.08,0.01
KANSAINER.NS,1.05,-0.0
KARURVYSYA.NS,0.0,0.0
KEC.NS,0.68,-0.0
KESORAMIND.NS,3.52,-0.0
KITEX.NS,-2.41,0.02
KOLTEPATIL.NS,-0.26,0.0
KOTAKBANK.NS,2.27,-0.01
KPIT.NS,-0.98,0.01
KPRMILL.NS,0.0,0.0
KRBL.NS,1.46,-0.0
KSBPUMPS.NS,1.77,-0.0
KSCL.NS,3.17,-0.0
KTKBANK.NS,0.26,0.01
KWALITY.NS,2.22,0.01
LAKSHVILAS.NS,2.27,-0.0
LALPATHLAB.NS,-0.53,-0.0
LAOPALA.NS,-0.02,0.0
LAXMIMACH.NS,0.22,-0.0
LICHSGFIN.NS,1.46,-0.0
LINDEINDIA.NS,1.94,0.0
LITL.NS,2.02,-0.01
LT.NS,1.8,-0.0
LUPIN.NS,2.38,-0.01
MAGMA.NS,0.4,-0.02
MAHINDCIE.NS,1.95,0.0
MAHLIFE.NS,-0.64,0.0
MANAPPURAM.NS,3.13,-0.01
MANPASAND.NS,0.86,-0.0
MARICO.NS,0.92,-0.0
MARKSANS.NS,-0.23,0.0
MARUTI.NS,0.78,0.0
MAYURUNIQ.NS,0.63,-0.0
MCLEODRUSS.NS,-0.11,0.01
MERCK.NS,0.43,-0.0
MFSL.NS,2.24,-0.0
MHRIL.NS,2.08,-0.0
MINDTREE.NS,0.12,-0.01
MMTC.NS,-7.31,0.06
MOIL.NS,-2.53,0.02
MONSANTO.NS,-0.12,0.0
MOTHERSUMI.NS,0.77,-0.0
MOTILALOFS.NS,1.64,0.0
MPHASIS.NS,-0.75,0.0
MRF.NS,4.23,0.0
MRPL.NS,0.81,0.0
MTNL.NS,-3.08,0.02
MUTHOOTFIN.NS,0.53,-0.01
MYSOREBANK.NS,1.02,-0.0
NATCOPHARM.NS,-0.3,0.01
NATIONALUM.NS,5.48,0.01
NAUKRI.NS,0.64,-0.01
NAVINFLUOR.NS,-0.1,0.02
NAVKARCORP.NS,-1.07,0.01
NBCC.NS,0.91,0.02
NCC.NS,0.92,-0.0
NETWORK18.NS,1.31,0.0
NH.NS,-0.0,0.0
NHPC.NS,0.36,-0.0
NIITTECH.NS,-1.14,0.01
NILKAMAL.NS,-4.58,0.04
NITINFIRE.NS,1.52,-0.01
NLCINDIA.NS,-0.27,0.01
NMDC.NS,1.56,0.0
NTPC.NS,1.18,-0.0
OBEROIRLTY.NS,1.05,-0.0
OCL.NS,3.95,-0.0
OFSS.NS,1.44,-0.0
OIL.NS,0.24,0.0
OMAXE.NS,0.63,-0.0
ONGC.NS,0.94,-0.01
ORIENTBANK.NS,2.45,0.0
ORIENTCEM.NS,0.72,0.0
ORISSAMINE.NS,0.83,-0.0
PAGEIND.NS,1.52,0.0
PCJEWELLER.NS,0.01,-0.0
PEL.NS,1.68,0.0
PERSISTENT.NS,0.26,-0.0
PETRONET.NS,0.08,-0.01
PFC.NS,1.04,0.0
PFIZER.NS,0.46,-0.0
PFS.NS,0.87,-0.0
PGHH.NS,0.18,-0.0
PHOENIXLTD.NS,-1.62,0.0
PIDILITIND.NS,1.0,0.0
PIIND.NS,0.49,-0.01
PNB.NS,2.16,0.0
PNCINFRA.NS,0.61,-0.0
POLARIS.NS,-1.06,0.01
POWERGRID.NS,1.89,-0.01
PRAJIND.NS,-0.12,0.01
PRESTIGE.NS,-3.99,0.02
PRISMCEM.NS,1.86,0.01
PTC.NS,0.84,0.01
PUNJLLOYD.NS,0.03,0.01
PVR.NS,0.91,0.01
RADICO.NS,0.19,-0.01
RAIN.NS,3.15,0.0
RAJESHEXPO.NS,1.75,-0.01
RALLIS.NS,-0.97,0.01
RAMCOCEM.NS,3.06,0.0
RAMCOSYS.NS,-3.1,0.02
RAYMOND.NS,0.66,-0.0
RCF.NS,-3.64,0.02
RCOM.NS,1.13,-0.01
RDEL.NS,-1.12,0.01
RECLTD.NS,2.26,0.0
REDINGTON.NS,-0.68,0.02
RELAXO.NS,1.09,-0.0
RELCAPITAL.NS,1.44,-0.0
RELIANCE.NS,-0.12,0.0
RELIGARE.NS,1.6,-0.01
RELINFRA.NS,1.09,0.0
RENUKA.NS,-2.39,0.02
REPCOHOME.NS,4.37,-0.0
RIIL.NS,1.57,-0.0
RKFORGE.NS,4.39,-0.01
ROLTA.NS,-0.49,0.0
RPOWER.NS,1.16,-0.0
RTNPOWER.NS,2.68,-0.01
RUCHISOYA.NS,-0.4,0.0
SADBHAV.NS,1.35,-0.0
SAIL.NS,4.1,0.0
SANOFI.NS,-0.67,0.0
SBBJ.NS,0.72,0.0
SBIN.NS,0.99,0.0
SBT.NS,1.33,-0.0
SCHNEIDER.NS,1.15,-0.01
SCI.NS,-0.51,0.01
SEQUENT.NS,-2.06,0.02
SFCL.NS,-0.06,0.0
SHARDACROP.NS,-0.55,0.01
SHILPAMED.NS,0.3,0.0
SHK.NS,-1.18,0.01
SHOPERSTOP.NS,0.21,0.0
SHREECEM.NS,2.58,0.0
SHRIRAMCIT.NS,1.76,-0.01
SIEMENS.NS,1.45,-0.0
SIMPLEXINF.NS,3.18,-0.0
SINTEX.NS,-1.39,0.01
SITINET.NS,0.42,0.0
SJVN.NS,-0.41,0.0
SKFINDIA.NS,-0.04,0.0
SMLISUZU.NS,1.12,-0.0
SNOWMAN.NS,0.66,0.0
SOBHA.NS,-0.76,-0.0
SOLARINDS.NS,0.48,-0.0
SOMANYCERA.NS,5.57,-0.0
SONATSOFTW.NS,1.63,-0.0
SOUTHBANK.NS,0.94,0.01
SPARC.NS,0.79,-0.0
SREINFRA.NS,1.68,0.0
SRF.NS,3.39,-0.0
SRTRANSFIN.NS,2.18,0.0
STAR.NS,-2.07,0.03
STCINDIA.NS,-5.98,0.02
SUNDARMFIN.NS,-2.0,0.01
SUNDRMFAST.NS,0.83,0.0
SUNPHARMA.NS,2.05,-0.01
SUNTECK.NS,0.77,0.01
SUNTV.NS,-0.62,0.0
SUPRAJIT.NS,-1.4,0.01
SUPREMEIND.NS,1.32,-0.01
SUVEN.NS,2.58,0.0
SUZLON.NS,0.78,0.01
SWANENERGY.NS,0.02,0.0
SYMPHONY.NS,1.27,-0.01
SYNDIBANK.NS,1.17,0.01
SYNGENE.NS,0.33,0.01
TAKE.NS,-1.4,0.01
TATACHEM.NS,0.49,0.0
TATACOFFEE.NS,0.8,-0.0
TATACOMM.NS,0.63,-0.0
TATAELXSI.NS,-0.05,0.0
TATAGLOBAL.NS,1.7,-0.0
TATAMOTORS.NS,0.91,0.01
TATAMTRDVR.NS,0.81,0.0
TATAPOWER.NS,0.46,-0.0
TATASPONGE.NS,2.18,-0.0
TATASTEEL.NS,2.97,0.0
TCS.NS,-0.11,0.01
TECHM.NS,-0.33,0.0
TECHNO.NS,1.29,0.01
TEXRAIL.NS,-0.29,0.0
THERMAX.NS,2.13,-0.0
THOMASCOOK.NS,-0.84,0.01
TIDEWATER.NS,-0.73,0.02
TIMKEN.NS,1.25,-0.0
TITAN.NS,0.4,0.0
TNPL.NS,1.41,-0.0
TORNTPHARM.NS,1.92,-0.01
TORNTPOWER.NS,-0.18,0.0
TRENT.NS,-0.23,-0.0
TRIDENT.NS,1.61,0.01
TRITURBINE.NS,0.77,-0.0
TTKPRESTIG.NS,0.0,0.0
TUBEINVEST.NS,-0.69,0.0
TV18BRDCST.NS,2.93,-0.0
TVSMOTOR.NS,-0.31,-0.0
TVSSRICHAK.NS,-0.45,0.0
TVTODAY.NS,0.33,-0.0
UBL.NS,1.01,0.0
UCOBANK.NS,1.46,-0.0
UFLEX.NS,1.21,-0.0
ULTRACEMCO.NS,2.02,-0.01
UNICHEMLAB.NS,-0.55,0.0
UNIONBANK.NS,6.19,-0.0
UNITECH.NS,1.11,-0.01
UPL.NS,-0.74,0.01
VAKRANGEE.NS,-0.26,0.0
VEDL.NS,1.11,0.0
VGUARD.NS,2.82,-0.0
VIDEOIND.NS,-0.09,0.0
VIJAYABANK.NS,-0.26,0.01
VINATIORGA.NS,3.21,0.0
VIPIND.NS,1.52,-0.01
VOLTAS.NS,-0.85,0.01
VRLLOG.NS,-0.44,0.02
VSTIND.NS,0.73,0.0
VTL.NS,0.21,0.0
WABAG.NS,1.26,0.0
WABCOINDIA.NS,-1.02,0.01
WELCORP.NS,0.7,0.01
WELSPUNIND.NS,3.32,-0.01
WHIRLPOOL.NS,2.03,-0.0
WIPRO.NS,-0.05,0.0
WOCKPHARMA.NS,0.68,-0.01
WONDERLA.NS,-1.23,0.01
YESBANK.NS,2.8,0.0
ZEEL.NS,1.53,0.0
ZEELEARN.NS,2.8,0.0
ZENSARTECH.NS,0.1,-0.0
ZYDUSWELL.NS,0.5,-0.0
Nifty50,,
Nifty500,,
